tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
10000,user_spot_1_171,True,Wed Nov 01 08:14:00 +0000 2017,@SpotifyCares Billed twice on Apple Pay and PayPal subscriptions simultaneously for the same account.,10001,
10001,SpotifyCares,False,Wed Nov 01 08:39:00 +0000 2017,"@user_spot_1_171 Hi! Head to your Account overview at spotify.com/account, find 'Your plan', and click 'Update' next to payment details. -Elena",,10000
10002,user_spot_2_621,True,Wed Nov 01 08:35:00 +0000 2017,@SpotifyCares Why is there an unexpected extra $4.99 tax charge on my annual subscription receipt?,10003,
10003,SpotifyCares,False,Wed Nov 01 08:41:00 +0000 2017,"@user_spot_2_621 Hey! Please verify international transactions are enabled on your card, or try PayPal as a secondary billing method. -Alex",,10002
10004,user_spot_3_884,True,Wed Nov 01 08:44:00 +0000 2017,@SpotifyCares I updated my credit card details but my account is still showing payment past due and downgraded to Free.,10005,
10005,SpotifyCares,False,Wed Nov 01 08:52:00 +0000 2017,@user_spot_3_884 Hey! We'd be glad to look into this charge. Send us a DM with your account email and we'll sort out the refund: https://spoti.fi/dm -Kevin,,10004
10006,user_spot_4_578,True,Wed Nov 01 08:56:00 +0000 2017,@SpotifyCares Billed twice on Apple Pay and gift card subscriptions simultaneously for the same account.,10007,
10007,SpotifyCares,False,Wed Nov 01 09:21:00 +0000 2017,@user_spot_4_578 Hey! We sent email notifications regarding updated pricing tiers in your region. DM us your username if you didn't receive it! -Daniel,,10006
10008,user_spot_5_182,True,Wed Nov 01 09:12:00 +0000 2017,@SpotifyCares Billed twice on Google Play billing and Credit Card subscriptions simultaneously for the same account.,10009,
10009,SpotifyCares,False,Wed Nov 01 09:18:00 +0000 2017,@user_spot_5_182 Hey! Send us a DM with both transaction IDs so we can cancel the redundant third-party billing and process a refund. -Kevin,,10008
10010,user_spot_6_315,True,Wed Nov 01 09:29:00 +0000 2017,"@SpotifyCares If I downgrade from Premium to Free tier mid-cycle, do I get a prorated refund credit for unused days?",10011,
10011,SpotifyCares,False,Wed Nov 01 09:39:00 +0000 2017,"@user_spot_6_315 Hi! Head to your Account overview at spotify.com/account, find 'Your plan', and click 'Update' next to payment details. -Zoe",,10010
10012,user_spot_7_984,True,Wed Nov 01 09:41:00 +0000 2017,@SpotifyCares Billed twice on Google Play billing and Credit Card subscriptions simultaneously for the same account.,10013,
10013,SpotifyCares,False,Wed Nov 01 09:53:00 +0000 2017,@user_spot_7_984 Hey! Send us a DM with both transaction IDs so we can cancel the redundant third-party billing and process a refund. -Ryan,,10012
10014,user_spot_8_407,True,Wed Nov 01 10:00:00 +0000 2017,@SpotifyCares Cancelled my subscription last week but still got billed $10.99 today. Please check invoice #INV-8832.,10015,
10015,SpotifyCares,False,Wed Nov 01 10:13:00 +0000 2017,@user_spot_8_407 Hi! Your billing currency is tied to your account country settings. DM us your account username to update your country! -Elena,,10014
10016,user_spot_9_251,True,Wed Nov 01 10:16:00 +0000 2017,@SpotifyCares Billed twice on Mastercard and PayPal subscriptions simultaneously for the same account.,10017,
10017,SpotifyCares,False,Wed Nov 01 10:20:00 +0000 2017,@user_spot_9_251 Hi there! You can download VAT invoices directly from your Receipts page at spotify.com/account/receipts. -Maya,,10016
10018,user_spot_10_311,True,Wed Nov 01 10:26:00 +0000 2017,@SpotifyCares Auto-renew was turned off on my account yet I was still charged £9.99 yesterday morning. Please reverse.,10019,
10019,SpotifyCares,False,Wed Nov 01 10:42:00 +0000 2017,"@user_spot_10_311 Hi! Head to your Account overview at spotify.com/account, find 'Your plan', and click 'Update' next to payment details. -Carlos",,10018
10020,user_spot_11_170,True,Wed Nov 01 10:44:00 +0000 2017,@SpotifyCares Auto-renew was turned off on my account yet I was still charged $9.99 yesterday morning. Please reverse.,10021,
