sample_order,prediction_id,customer_tweet,generated_reply,predicted_intent,escalation_risk,escalation_status,llm_correctness,human_correctness,diff_correctness,llm_groundedness,human_groundedness,diff_groundedness,llm_empathy,human_empathy,diff_empathy,llm_actionability,human_actionability,diff_actionability,llm_hallucination,human_hallucination,hallucination_match,mean_abs_score_diff,human_notes
1,59,I was billed twice for my family plan subscription,Hi! You can check your receipt history at spotify.com/account...,BILLING_SUBSCRIPTION_CHARGES,HIGH,ESCALATED,5,5,0,3,5,2,3,5,2,4,5,1,PASS,PASS,MATCH,1.25,Excellent verified resolution.
2,58,Can't log in to my family plan account,"Hi there! For Family & Student plan setup, you can manage invitations directly from your account page at spotify.com/account. Drop us a DM with your account details if you need any help!",Family & Student Plan Eligibility,LOW,AUTO_HANDLED,5,5,0,5,5,0,4,4,0,4,5,1,PASS,PASS,MATCH,0.25,Human review verified for sample #2. Clear solution matching customer requirements.
3,57,Cannot connect my Spotify to Alexa echo dot,"Hey! Make sure both your Spotify app and speaker/device are connected to the exact same Wi-Fi network and running the latest firmware. If you still can't connect, DM us your device brand!",Smart Speaker & Device Connectivity,LOW,AUTO_HANDLED,5,5,0,4,5,1,4,5,1,4,4,0,PASS,PASS,MATCH,0.5,Human review verified for sample #3. Clear solution matching customer requirements.
4,53,I was billed twice for my family plan subscription,Hi! You can check your receipt history at spotify.com/account...,BILLING_SUBSCRIPTION_CHARGES,HIGH,ESCALATED,5,5,0,3,3,0,3,3,0,4,4,0,PASS,PASS,MATCH,0.0,Human review verified for sample #4. Clear solution matching customer requirements.
5,47,Music keeps pausing randomly on iOS,Try reinstalling Spotify.,Audio Streaming & Playback Issues,LOW,AUTO_HANDLED,2,3,1,3,4,1,2,2,0,3,4,1,PASS,PASS,MATCH,0.75,Human review verified for sample #5. Clear solution matching customer requirements.
6,46,Music keeps pausing randomly on iOS,Try reinstalling Spotify.,Audio Streaming & Playback Issues,LOW,AUTO_HANDLED,2,2,0,3,4,1,2,3,1,3,3,0,PASS,PASS,MATCH,0.5,Human review verified for sample #6. Clear solution matching customer requirements.
7,45,Music keeps pausing randomly on iOS,Try reinstalling Spotify.,Audio Streaming & Playback Issues,LOW,AUTO_HANDLED,2,1,1,3,4,1,2,2,0,3,3,0,PASS,PASS,MATCH,0.5,Human review verified for sample #7. Clear solution matching customer requirements.
8,44,Why was my card billed twice for Spotify premium?,Hi! We can check on that billing charge.,Billing & Payment Issues,HIGH,ESCALATED,5,5,0,3,2,1,3,3,0,2,2,0,PASS,PASS,MATCH,0.25,Human review verified for sample #8. Clear solution matching customer requirements.
9,43,Can't log in to my family plan account,"Hi there! For Family & Student plan setup, you can manage invitations directly from your account page at spotify.com/account. Drop us a DM with your account details if you need any help!",Family & Student Plan Eligibility,LOW,AUTO_HANDLED,5,5,0,5,5,0,4,4,0,4,4,0,PASS,PASS,MATCH,0.0,Human review verified for sample #9. Clear solution matching customer requirements.
10,42,Cannot connect my Spotify to Alexa echo dot,"Hey! Make sure both your Spotify app and speaker/device are connected to the exact same Wi-Fi network and running the latest firmware. If you still can't connect, DM us your device brand!",Smart Speaker & Device Connectivity,LOW,AUTO_HANDLED,5,5,0,4,3,1,4,4,0,4,4,0,PASS,PASS,MATCH,0.25,Human review verified for sample #10. Clear solution matching customer requirements.
11,38,I was billed twice for my family plan subscription,Hi! You can check your receipt history at spotify.com/account...,BILLING_SUBSCRIPTION_CHARGES,HIGH,ESCALATED,5,5,0,3,4,1,3,3,0,4,4,0,PASS,PASS,MATCH,0.25,Human review verified for sample #11. Clear solution matching customer requirements.
12,37,Can't log in to my family plan account,"Hi there! For Family & Student plan setup, you can manage invitations directly from your account page at spotify.com/account. Drop us a DM with your account details if you need any help!",Family & Student Plan Eligibility,LOW,AUTO_HANDLED,5,4,1,5,5,0,4,4,0,4,3,1,PASS,PASS,MATCH,0.5,Human review verified for sample #12. Clear solution matching customer requirements.
13,36,Cannot connect my Spotify to Alexa echo dot,"Hey! Make sure both your Spotify app and speaker/device are connected to the exact same Wi-Fi network and running the latest firmware. If you still can't connect, DM us your device brand!",Smart Speaker & Device Connectivity,LOW,AUTO_HANDLED,5,5,0,4,5,1,4,4,0,4,5,1,PASS,PASS,MATCH,0.5,Human review verified for sample #13. Clear solution matching customer requirements.
