sample_number,conversation_id,customer_tweet,agent_reply,suggested_intent,true_intent,is_customer,created_at
1,twcs_10278,@SpotifyCares Gapless playback is not working for continuous live concert albums on iOS 15 app version 8.9.22.,"@user_spot_140_352 Hey! Log out and log back in to refresh account settings. If on a Family plan, the plan manager might have set restrictions. -Sarah","App Stability, OS Freezes & Crash Reports","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T16:47:00
2,twcs_10405,@SpotifyCares How do I change download storage location to my external micro SD card on Android?,"@user_spotify_405 Hi! Go to Settings > Storage > SD Card, and confirm to transfer all downloaded music files to external memory.","Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-08T15:00:00
3,twcs_10948,@SpotifyCares Xbox Series X game audio volume slider doesn't balance background Spotify music properly.,@user_spot_475_568 Hi there! Check our smart watch setup guide here: https://spoti.fi/wearables to ensure proper offline sync setup. -Ryan,Audio Streaming Quality & Playback Errors,Smart Speaker & External Device Connectivity,True,2017-11-05T23:00:00
4,twcs_10824,@SpotifyCares My Harman Kardon speakers can no longer find Spotify Connect after the firmware update.,@user_spot_413_795 Hi there! Check our smart watch setup guide here: https://spoti.fi/wearables to ensure proper offline sync setup. -Elena,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T08:24:00
5,twcs_10736,@SpotifyCares Updating to Spotify version 8.8.84 causes constant crash on startup on iPad Air.,@user_spot_369_555 Hi there! Does this happen on both WiFi and cellular? Let us know your Spotify version and OS build in DM! -Maya,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T22:13:00
6,twcs_10392,@SpotifyCares Streaming quality sounds muffled and low bitrate even though 'Very High Quality' is selected.,@user_spot_197_561 Hey! Check your streaming quality under Settings > Audio Quality. Toggle 'Download using cellular' if streaming offline tracks. -Ryan,Family & Student Plan Eligibility & Verification,Offline Playlists & Download Storage Management,True,2017-11-03T06:00:00
7,twcs_10240,@SpotifyCares My subscription price jumped from $9.99 to $14.99 without advance notification on my billing statement.,@user_spot_121_141 Hey! We'd be glad to look into this charge. Send us a DM with your account email and we'll sort out the refund: https://spoti.fi/dm -Carlos,Family & Student Plan Eligibility & Verification,"Billing, Subscriptions & Refund Inquiries",True,2017-11-02T12:21:00
8,twcs_12054,@SpotifyCares My Daily Mix playlists haven't refreshed for over a week. Same songs on repeat.,@user_spot_1028_292 Hey! Great suggestion. You can submit and vote on feature ideas directly on our Spotify Community Idea Board: https://spoti.fi/ideas -Kevin,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-11T07:58:00
9,twcs_10178,"@SpotifyCares If I downgrade from Premium to Free tier mid-cycle, do I get a prorated refund credit for unused days?",@user_spot_90_789 Hello! We'd be happy to investigate this. Send us a private DM with your registered email and we'll check your billing status: https://spoti.fi/dm -Emma,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T05:08:00
10,twcs_11550,@SpotifyCares Spotify says 'Storage is full' error even though my SD card has 32GB of free space.,"@user_spot_776_309 Hi! Check Settings > Storage > Storage location, and select your SD Card. Ensure app permissions allow storage access. -Emma","Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-08T21:13:00
11,twcs_10515,@SpotifyCares Garmin smartwatch won't sync Spotify offline playlists via WiFi connection.,@user_spotify_511 Hello! Plug your Garmin into its charger during sync and ensure Wi-Fi signal is strong near the router.,Family & Student Plan Eligibility & Verification,Offline Playlists & Download Storage Management,True,2017-11-16T16:50:00
12,twcs_10507,@SpotifyCares PS5 game audio volume slider doesn't balance background Spotify music properly.,@user_spotify_507 Hey! Press the PS button > Control Center > Music card to adjust the master Spotify volume mix slider directly.,Audio Streaming Quality & Playback Errors,Smart Speaker & External Device Connectivity,True,2017-11-12T16:40:00
13,twcs_10204,@SpotifyCares I updated my credit card details but my account is still showing payment past due and downgraded to Free.,"@user_spot_103_946 Hello! Premium features stay active until the end of your prepaid billing period, with no further charges after that. -Chloe","Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T08:02:00
14,twcs_10716,@SpotifyCares App crashes when attempting to view artist about biography page with high-res photos.,@user_spot_359_618 Hi there! Does this happen on both WiFi and cellular? Let us know your Spotify version and OS build in DM! -Carlos,"App Stability, OS Freezes & Crash Reports","App Stability, OS Freezes & Crash Reports",True,2017-11-04T19:55:00
